Source,Material,Total_waste,Latitude,Longitude
Construction and Demolition,Mixed Hardcore,3818,52.522561,-1.8920277
Construction and Demolition,Mixed Hardcore,3815,53.108704,-1.2380739
Construction and Demolition,Mixed Hardcore Fines,3814,52.654774,-2.0555402
Construction and Demolition,Mixed Hardcore Fines,3813,50.796512,0.053741061
Construction and Demolition,Mixed Hardcore,3812,52.662333,-2.3561799
Construction and Demolition,Soils,3810,52.058138,0.7697079
Construction and Demolition,Mixed Hardcore,3808,51.403246,-0.28951304
Construction and Demolition,Mixed Hardcore Fines,3808,50.862839,-1.1595844
Construction and Demolition,Mixed Hardcore Fines,3807,53.657915,-1.7719622
Other,Other Soils,3807,52.772341,-1.7100878
Construction and Demolition,Mixed Hardcore Fines,3805,51.66553,-0.73088335
Construction and Demolition,Mixed Hardcore Fines,3803,50.811673,-0.70485036
Construction and Demolition,Soils,3796,51.495447,-0.68496201
Construction and Demolition,Mixed Hardcore,3793,53.474058,-2.2129936
Construction and Demolition,Mixed Hardcore,3791,52.09043,-4.4990479
Construction and Demolition,Plasterboard / Gypsum,3787,51.470398,0.26821418
Other,Other Soils,3783,51.788339,-2.3057267
Construction and Demolition,Mixed Hardcore,3780,51.326596,0.15299532
Construction and Demolition,Mixed Hardcore Fines,3779,51.064023,-2.6321316
Construction and Demolition,Mixed Hardcore,3778,51.118825,-2.9894979
Municipal Waste,Municipal Waste Incinerator Bottom Ash,3778,60.179142,-1.2366386
Construction and Demolition,Soils,3773,53.699723,-1.7740993
Manufacturing,"Aluminium Slag, NMR",3769,53.223933,-1.1387161
Construction and Demolition,Mixed Hardcore Fines,3769,50.913388,-1.2115047
Construction and Demolition,Mixed Hardcore,3767,50.509717,-4.8007795
Construction and Demolition,Mixed Hardcore,3764,51.443785,0.22615431
Construction and Demolition,Mixed Hardcore Fines,3761,51.77611,0.061300035
Construction and Demolition,Mixed Hardcore Fines,3759,53.396066,-1.4815263
Construction and Demolition,Mixed Hardcore,3759,56.390491,-2.9099313
Other,Other Soils,3757,51.821895,-0.047007824
Construction and Demolition,Mixed Hardcore,3756,51.096168,-0.32841811
Construction and Demolition,Mixed Hardcore Fines,3753,53.030582,-1.1858001
Construction and Demolition,Mixed Hardcore,3751,53.608521,-0.43330496
Other,Other Soils,3746,52.632897,1.1825264
Construction and Demolition,Mixed Hardcore Fines,3745,51.957309,0.22402735
Construction and Demolition,Mixed Hardcore,3742,52.503769,-0.67980293
Construction and Demolition,Mixed Hardcore,3742,49.757201,-7.5699385
Construction and Demolition,Soils,3738,53.528033,-3.0408482
Construction and Demolition,Mixed Hardcore Fines,3733,53.598789,-0.63782444
Construction and Demolition,Mixed Hardcore Fines,3724,53.59153,-2.5483277
Other,Other Soils,3723,50.823441,-0.35163599
Construction and Demolition,Mixed Hardcore,3717,53.501581,-0.57837293
Other,Other Soils,3715,53.562725,-2.1275802
Construction and Demolition,Soils,3714,51.743939,-0.085093535
Construction and Demolition,Soils,3712,51.462069,-0.98667356
Construction and Demolition,Soils,3709,50.690259,-2.1682145
Construction and Demolition,Mixed Hardcore,3708,53.490723,-2.5619925
Construction and Demolition,Mixed Hardcore,3707,51.621205,0.39257715
Construction and Demolition,Mixed Hardcore,3704,52.532772,-3.2671097
Other,Linings and Refractories,3703,53.399471,-1.4004807
Construction and Demolition,Mixed Hardcore,3701,51.473575,0.42751204
Construction and Demolition,Mixed Hardcore,3697,53.466423,-2.3261709
Construction and Demolition,Mixed Hardcore,3697,50.690832,-1.2460888
Other,Other Soils,3695,51.546404,-2.43125
Construction and Demolition,Mixed Hardcore,3689,50.934571,-0.64629279
Construction and Demolition,Mixed Hardcore,3689,52.151114,-0.33579198
Construction and Demolition,Mixed Hardcore Fines,3684,52.763776,-2.3608607
Construction and Demolition,Mixed Hardcore,3681,53.781825,-2.6447777
Manufacturing,Galvanic Sludge,3680,52.357761,-1.3480074
Construction and Demolition,Mixed Hardcore Fines,3679,51.060206,-2.7652279
Manufacturing,Mill scales,3678,52.57829,-2.0303856
Construction and Demolition,Mixed Hardcore,3676,53.451534,-1.3344707
Construction and Demolition,Mixed Hardcore,3675,50.779591,-2.037705
Construction and Demolition,Mixed Hardcore Fines,3674,53.053666,-0.46876801
Construction and Demolition,Mixed Hardcore Fines,3674,51.617604,-0.044668119
Construction and Demolition,Mixed Hardcore,3671,51.482004,0.2422598
Construction and Demolition,Mixed Hardcore,3670,51.532291,-0.008805664
Construction and Demolition,Mixed Hardcore,3670,53.781153,-1.6146966
Construction and Demolition,Mixed Hardcore,3663,53.266365,-2.5266301
Construction and Demolition,Soils,3660,53.529325,-2.3891691
Manufacturing,Foundry Sand,3660,53.782427,-1.51053
Construction and Demolition,Mixed Hardcore Fines,3658,55.886791,-3.1472114
Construction and Demolition,Mixed Hardcore,3656,52.555941,1.6777528
Construction and Demolition,Mixed Hardcore,3656,54.396471,-1.6568266
Construction and Demolition,Mixed Hardcore Fines,3656,53.704202,-2.6885956
Construction and Demolition,Soils,3654,52.421526,-1.5006886
Construction and Demolition,Mixed Hardcore,3654,51.326777,-0.23997036
Construction and Demolition,Mixed Hardcore,3653,51.461847,-0.19342017
Construction and Demolition,Soils,3652,53.007078,-3.9414668
Construction and Demolition,Soils,3651,56.526963,-2.9076902
Construction and Demolition,Mixed Hardcore,3649,50.773456,-1.9089433
Construction and Demolition,Soils,3647,55.475282,-4.6283927
Construction and Demolition,Mixed Hardcore Fines,3647,51.178799,-2.9900664
Municipal Waste,Container Glass,3642,56.383671,-3.4266823
Construction and Demolition,Soils,3638,54.970519,-1.8437618
Construction and Demolition,Mixed Hardcore,3631,52.704029,-1.7761757
Construction and Demolition,Soils,3630,52.120906,-1.8913919
Construction and Demolition,Glass,3627,52.305007,-0.23410106
Construction and Demolition,Soils,3626,52.502197,-1.9599455
Municipal Waste,Container Glass,3625,51.414943,-0.77732172
Construction and Demolition,Mixed Hardcore Fines,3624,55.780897,-4.0842423
Other,Other Soils,3621,51.75033,-0.27604178
Construction and Demolition,Mixed Hardcore Fines,3620,51.42048,-2.4835614
Construction and Demolition,Mixed Hardcore,3618,50.706634,-2.2075718
Construction and Demolition,Plasterboard / Gypsum,3615,51.403284,0.29307276
Construction and Demolition,Plasterboard / Gypsum,3610,51.400408,-0.17584445
Construction and Demolition,Mixed Hardcore,3610,51.908288,-0.5491827
Construction and Demolition,Mixed Hardcore,3609,55.081309,-3.5480369
Construction and Demolition,Soils,3608,55.111975,-1.5826764
Construction and Demolition,Soils,3606,56.383671,-3.4266823
Construction and Demolition,Soils,3605,55.476823,-4.5996282
Construction and Demolition,Mixed Hardcore,3602,51.791114,1.1248244
Construction and Demolition,Soils,3598,51.493656,0.032224451
Construction and Demolition,Mixed Hardcore,3595,54.892327,-1.5041891
Construction and Demolition,Mixed Hardcore Fines,3594,54.938067,-2.9940719
Construction and Demolition,Mixed Hardcore Fines,3589,53.894778,-2.3905959
Construction and Demolition,Mixed Hardcore,3587,53.331487,-1.3356342
Construction and Demolition,Mixed Hardcore,3581,51.534343,-0.02004941
Construction and Demolition,Mixed Hardcore Fines,3574,51.583239,-1.9651985
Construction and Demolition,Mixed Hardcore,3574,53.975592,-1.976378
Construction and Demolition,Mixed Hardcore,3570,56.13184,-3.1266477
Construction and Demolition,Soils,3569,51.401748,-0.99456225
Construction and Demolition,Soils,3567,52.763776,-2.3608607
Construction and Demolition,Mixed Hardcore Fines,3565,52.360777,0.23308846
Construction and Demolition,Mixed Hardcore,3563,53.33796,-0.95941288
Other,Other Soils,3560,53.609382,-0.6612448
Construction and Demolition,Mixed Hardcore,3555,51.370489,1.3747131
Construction and Demolition,Mixed Hardcore Fines,3553,51.098955,-2.8812335
Construction and Demolition,Soils,3548,53.383832,-0.54416844
Construction and Demolition,Mixed Hardcore Fines,3547,52.685172,-2.0138627
Construction and Demolition,Mixed Hardcore Fines,3545,52.293185,0.17280181
Construction and Demolition,Mixed Hardcore Fines,3545,51.562672,-0.52041812
Construction and Demolition,Soils,3544,53.62241,-1.8245851
Construction and Demolition,Plasterboard / Gypsum,3541,53.782427,-1.51053
Construction and Demolition,Soils,3540,52.357652,1.5205112
Other,Other Soils,3540,51.400408,-0.17584445
Construction and Demolition,Mixed Hardcore,3537,53.353827,-1.3524442
Construction and Demolition,Mixed Hardcore,3535,52.220801,-0.25515771
Construction and Demolition,Mixed Hardcore Fines,3530,53.512468,-0.58149228
Construction and Demolition,Mixed Hardcore Fines,3528,53.717867,-1.3859329
Construction and Demolition,Mixed Hardcore,3528,52.677607,-2.8454319
Construction and Demolition,Mixed Hardcore,3526,51.103382,-0.26862279
Construction and Demolition,Mixed Hardcore,3525,54.613634,-1.240635
Construction and Demolition,Mixed Hardcore,3525,52.923598,-1.1961675
Construction and Demolition,Mixed Hardcore Fines,3522,53.784982,-1.7423469
Other,Other Soils,3521,55.749177,-2.2159748
Construction and Demolition,Mixed Hardcore Fines,3520,51.659437,-1.9360538
Construction and Demolition,Mixed Hardcore Fines,3513,53.390352,-1.3416653
Construction and Demolition,Soils,3513,51.29979,1.3458167
Construction and Demolition,Mixed Hardcore Fines,3512,53.602213,-2.2976587
Municipal Waste,Container Glass,3510,52.535368,-1.7234438
Other,Other Soils,3507,52.604185,-0.22389272
Construction and Demolition,Mixed Hardcore,3506,52.774743,-2.6788715
Construction and Demolition,Mixed Hardcore,3505,52.651714,0.15678449
Construction and Demolition,Mixed Hardcore,3505,54.064458,-1.0912921
Construction and Demolition,Mixed Hardcore,3504,55.923452,-3.2914587
Construction and Demolition,Mixed Hardcore Fines,3503,52.529186,-1.4787438
Construction and Demolition,Soils,3502,52.587956,-0.45259043
Construction and Demolition,Mixed Hardcore,3501,52.445249,-1.6995704
Construction and Demolition,Mixed Hardcore,3500,52.605083,-1.9339528
Construction and Demolition,Mixed Hardcore Fines,3498,52.500777,-1.872415
Construction and Demolition,Soils,3497,53.786009,-1.7307906
Construction and Demolition,Mixed Hardcore Fines,3494,56.476265,-3.0552207
Construction and Demolition,Mixed Hardcore,3494,52.434851,1.7143477
Construction and Demolition,Mixed Hardcore Fines,3493,51.492572,0.037160669
Construction and Demolition,Mixed Hardcore,3482,52.261747,1.2574408
Construction and Demolition,Mixed Hardcore,3476,52.262904,0.72904888
Construction and Demolition,Mixed Hardcore Fines,3473,53.782427,-1.51053
Other,Other Soils,3472,51.526825,-2.6554884
Construction and Demolition,Mixed Hardcore Fines,3471,51.524014,-3.6819441
Manufacturing,Mill scales,3470,53.567648,-0.60324862
Other,Other Soils,3468,50.606804,-2.04124
Construction and Demolition,Soils,3460,53.266937,-1.4107316
Construction and Demolition,Mixed Hardcore,3459,53.394693,-1.434534
Construction and Demolition,Mixed Hardcore Fines,3457,53.437736,-2.9895192
Construction and Demolition,Mixed Hardcore Fines,3456,52.428286,-1.6572709
Construction and Demolition,Soils,3456,51.129534,-0.13868755
Other,Other Soils,3455,53.675312,-1.4798311
Construction and Demolition,Mixed Hardcore Fines,3451,50.828968,-0.20803633
Construction and Demolition,Mixed Hardcore Fines,3450,51.346008,0.12863147
Construction and Demolition,Mixed Hardcore Fines,3449,51.521563,-2.6918637
Other,Other Soils,3449,53.348557,-2.8067355
Construction and Demolition,Mixed Hardcore,3444,52.055425,1.2964985
Construction and Demolition,Mixed Hardcore,3442,52.055425,1.2964985
Construction and Demolition,Mixed Hardcore,3440,53.778485,-3.0218157
Construction and Demolition,Mixed Hardcore,3436,51.68099,-0.38667171
Construction and Demolition,Mixed Hardcore,3432,51.426332,-0.97587098
Construction and Demolition,Mixed Hardcore,3431,56.566665,-2.595567
Construction and Demolition,Soils,3427,50.919138,-3.3532992
Other,Other Soils,3423,56.026733,-5.4256997
Municipal Waste,Container Glass,3419,51.120459,-2.9908474
Construction and Demolition,Mixed Hardcore,3410,51.493572,0.035519719
Other,Other Soils,3404,53.492401,-2.2795702
Other,Other Soils,3403,51.940112,-2.0981438
Construction and Demolition,Mixed Hardcore Fines,3401,53.480979,-2.8597571
Construction and Demolition,Soils,3400,53.479552,-2.8668707
Construction and Demolition,Mixed Hardcore Fines,3397,51.470388,-3.1764064
Construction and Demolition,Mixed Hardcore,3397,51.77611,0.061300035
Construction and Demolition,Mixed Hardcore,3396,56.001852,-2.7512181
Construction and Demolition,Mixed Hardcore,3390,54.608527,-1.2010953
Construction and Demolition,Soils,3387,53.795864,-1.5922304
Other,Other Soils,3387,53.056984,-0.061311282
Construction and Demolition,Mixed Hardcore,3386,52.316128,0.6995129
Construction and Demolition,Mixed Hardcore,3383,51.457465,-0.10441967
Construction and Demolition,Mixed Hardcore Fines,3382,53.039936,-2.2024635
Municipal Waste,Container Glass,3380,51.485886,-0.51024459
Construction and Demolition,Mixed Hardcore Fines,3380,51.258767,-0.73586651
Other,Other Soils,3380,51.437993,-1.9726165
Construction and Demolition,Mixed Hardcore,3379,53.398728,-2.2533734
Construction and Demolition,Mixed Hardcore,3376,52.682702,1.0296015
Construction and Demolition,Mixed Hardcore Fines,3376,51.549932,-3.5796441
Construction and Demolition,Mixed Hardcore Fines,3375,51.516509,0.10503503
Construction and Demolition,Mixed Hardcore,3362,51.093676,1.1716062
Mine and Quarry Wastes,Sand & Gravel,3362,50.687951,-2.153399
Mine and Quarry Wastes,Sand & Gravel,3362,50.777381,-2.053985
Mine and Quarry Wastes,Sand & Gravel,3362,50.697414,-2.182314
Mine and Quarry Wastes,Sand & Gravel,3362,50.697414,-2.182314
Mine and Quarry Wastes,Sand & Gravel,3362,54.83187,-4.943522
Mine and Quarry Wastes,Sand & Gravel,3362,51.500936,0.408606
Mine and Quarry Wastes,Sand & Gravel,3362,51.503716,0.378131
Mine and Quarry Wastes,Sand & Gravel,3362,51.143917,-0.839176
Mine and Quarry Wastes,Sand & Gravel,3362,51.135968,-0.8864
Mine and Quarry Wastes,Sand & Gravel,3362,52.384707,-2.074887
Mine and Quarry Wastes,Sand & Gravel,3362,52.022428,-0.426127
Mine and Quarry Wastes,Sand & Gravel,3362,51.953517,-0.651407
Mine and Quarry Wastes,Sand & Gravel,3362,52.138452,-0.21695
Mine and Quarry Wastes,Sand & Gravel,3362,53.390771,-2.702546
Mine and Quarry Wastes,Sand & Gravel,3362,54.675087,-2.702061
Mine and Quarry Wastes,Sand & Gravel,3362,58.857819,-2.89305
Mine and Quarry Wastes,Sand & Gravel,3362,51.942696,-1.337383
Mine and Quarry Wastes,Sand & Gravel,3362,51.64116,-1.529576
Mine and Quarry Wastes,Sand & Gravel,3362,52.655319,-2.043715
Mine and Quarry Wastes,Sand & Gravel,3362,51.985545,1.087425
Mine and Quarry Wastes,Sand & Gravel,3362,54.828982,-1.444179
Mine and Quarry Wastes,Sand & Gravel,3362,50.91306,-0.426712
Mine and Quarry Wastes,Sand & Gravel,3362,58.511119,-3.134472
Mine and Quarry Wastes,Sand & Gravel,3362,54.208646,-4.664195
Mine and Quarry Wastes,Sand & Gravel,3362,50.63776,-1.348259
Mine and Quarry Wastes,Sand & Gravel,3362,51.276204,0.468381
Mine and Quarry Wastes,Sand & Gravel,3362,51.296572,0.328031
Mine and Quarry Wastes,Sand & Gravel,3362,51.294878,0.315968
Mine and Quarry Wastes,Sand & Gravel,3362,53.72639,-1.609392
Mine and Quarry Wastes,Sand & Gravel,3362,54.802388,-6.719431
Mine and Quarry Wastes,Sand & Gravel,3362,57.64903,-3.27566
Mine and Quarry Wastes,Sand & Gravel,3362,55.637815,-4.721161
Mine and Quarry Wastes,Sand & Gravel,3362,53.699967,-1.137134
Mine and Quarry Wastes,Sand & Gravel,3362,53.703931,-1.095773
Mine and Quarry Wastes,Sand & Gravel,3362,54.180595,-0.596465
Mine and Quarry Wastes,Sand & Gravel,3362,58.375561,-6.532236
Mine and Quarry Wastes,Sand & Gravel,3362,54.826982,-4.947854
Mine and Quarry Wastes,Sand & Gravel,3362,50.694964,-2.185065
Mine and Quarry Wastes,Sand & Gravel,3362,54.737349,-1.492104
Mine and Quarry Wastes,Sand & Gravel,3362,54.690121,-1.513249
Mine and Quarry Wastes,Sand & Gravel,3362,51.39363,0.157938
Mine and Quarry Wastes,Sand & Gravel,3362,52.120773,1.1162
Mine and Quarry Wastes,Sand & Gravel,3362,51.896202,-0.655812
Mine and Quarry Wastes,Sand & Gravel,3362,54.646525,-6.953605
Mine and Quarry Wastes,Sand & Gravel,3362,54.64761,-6.954429
Mine and Quarry Wastes,Sand & Gravel,3362,51.295512,0.199164
Mine and Quarry Wastes,Sand & Gravel,3362,51.755615,-0.971773
Mine and Quarry Wastes,Sand & Gravel,3362,57.03473,-7.439493
Mine and Quarry Wastes,Sand & Gravel,3362,53.236858,-2.581958
Mine and Quarry Wastes,Sand & Gravel,3362,58.839863,-2.904976
Mine and Quarry Wastes,Sand & Gravel,3362,55.856096,-3.11795
Mine and Quarry Wastes,Sand & Gravel,3362,50.915011,-0.434683
Mine and Quarry Wastes,Sand & Gravel,3362,53.450823,-1.012087
Mine and Quarry Wastes,Sand & Gravel,3362,57.64756,-2.01632
Mine and Quarry Wastes,Sand & Gravel,3362,50.697118,-2.31314
Mine and Quarry Wastes,Sand & Gravel,3362,57.865429,-6.984471
Mine and Quarry Wastes,Sand & Gravel,3362,54.768407,-1.462961
Mine and Quarry Wastes,Sand & Gravel,3362,51.492475,0.023586
Mine and Quarry Wastes,Sand & Gravel,3362,58.608031,-3.305082
Mine and Quarry Wastes,Sand & Gravel,3362,51.997299,-0.736032
Mine and Quarry Wastes,Sand & Gravel,3362,58.497236,-6.272213
Mine and Quarry Wastes,Sand & Gravel,3362,50.909097,-0.399819
Mine and Quarry Wastes,Sand & Gravel,3362,54.871492,-4.853515
Mine and Quarry Wastes,Sand & Gravel,3362,57.633825,-7.491383
Mine and Quarry Wastes,Sand & Gravel,3362,51.945045,-1.339458
Mine and Quarry Wastes,Sand & Gravel,3362,52.025351,-0.396144
Mine and Quarry Wastes,Sand & Gravel,3362,55.70578,-3.670661
Mine and Quarry Wastes,Sand & Gravel,3362,55.70578,-3.670661
Mine and Quarry Wastes,Sand & Gravel,3362,58.795666,-2.931684
Mine and Quarry Wastes,Sand & Gravel,3362,51.65153,-1.548693
Mine and Quarry Wastes,Sand & Gravel,3362,50.876759,-1.820863
Mine and Quarry Wastes,Sand & Gravel,3362,55.853928,-3.114294
Mine and Quarry Wastes,Sand & Gravel,3362,51.743492,-0.683089
Mine and Quarry Wastes,Sand & Gravel,3362,51.697466,-1.345961
Mine and Quarry Wastes,Sand & Gravel,3362,51.261735,0.027769
Mine and Quarry Wastes,Sand & Gravel,3362,53.494346,-0.346449
Mine and Quarry Wastes,Sand & Gravel,3362,53.504241,-0.891734
Mine and Quarry Wastes,Sand & Gravel,3362,50.997508,-0.879456
Mine and Quarry Wastes,Sand & Gravel,3362,52.595173,1.303819
Mine and Quarry Wastes,Sand & Gravel,3362,52.593685,1.308802
Mine and Quarry Wastes,Sand & Gravel,3362,52.65546,-1.894702
Mine and Quarry Wastes,Sand & Gravel,3362,50.773781,-2.061001
Mine and Quarry Wastes,Sand & Gravel,3362,50.772885,-2.053058
Mine and Quarry Wastes,Sand & Gravel,3362,51.217008,0.757072
Mine and Quarry Wastes,Sand & Gravel,3362,52.711715,0.483282
Mine and Quarry Wastes,Sand & Gravel,3362,51.274717,0.464287
Mine and Quarry Wastes,Sand & Gravel,3362,51.742182,-0.684069
Mine and Quarry Wastes,Sand & Gravel,3362,53.684429,-0.573903
Mine and Quarry Wastes,Sand & Gravel,3362,57.245051,-2.397418
Mine and Quarry Wastes,Sand & Gravel,3362,51.250798,-0.130986
Mine and Quarry Wastes,Sand & Gravel,3362,51.445501,-1.971101
Mine and Quarry Wastes,Sand & Gravel,3362,50.958562,-0.629933
Mine and Quarry Wastes,Sand & Gravel,3362,50.985416,-0.785362
Mine and Quarry Wastes,Sand & Gravel,3362,53.202416,-2.620341
Mine and Quarry Wastes,Sand & Gravel,3362,53.222797,-2.641829
Mine and Quarry Wastes,Sand & Gravel,3362,55.942626,-4.378074
Mine and Quarry Wastes,Sand & Gravel,3362,52.131784,-0.245926
Mine and Quarry Wastes,Sand & Gravel,3362,51.219689,0.744414
Mine and Quarry Wastes,Sand & Gravel,3362,51.641332,-1.587161
Mine and Quarry Wastes,Sand & Gravel,3362,53.487706,-0.957199
Mine and Quarry Wastes,Sand & Gravel,3362,52.353359,1.599638
Mine and Quarry Wastes,Sand & Gravel,3362,53.668587,-2.280797
Mine and Quarry Wastes,Sand & Gravel,3362,50.676863,-1.188172
Mine and Quarry Wastes,Sand & Gravel,3362,51.002644,-1.672234
Mine and Quarry Wastes,Sand & Gravel,3362,50.691074,-2.170398
Mine and Quarry Wastes,Sand & Gravel,3362,51.655868,-1.520172
Mine and Quarry Wastes,Sand & Gravel,3362,51.193156,-0.83522
Mine and Quarry Wastes,Sand & Gravel,3362,49.20137,-2.040479
Mine and Quarry Wastes,Sand & Gravel,3362,55.141732,-1.517905
Mine and Quarry Wastes,Sand & Gravel,3362,52.997164,-1.603634
Mine and Quarry Wastes,Sand & Gravel,3362,52.851735,-1.490616
Mine and Quarry Wastes,Sand & Gravel,3362,50.913821,-3.330811
Mine and Quarry Wastes,Sand & Gravel,3362,50.510008,-3.58048
Mine and Quarry Wastes,Sand & Gravel,3362,53.539113,-1.009052
Mine and Quarry Wastes,Sand & Gravel,3362,53.561851,-1.014107
Mine and Quarry Wastes,Sand & Gravel,3362,50.662851,-2.12403
Mine and Quarry Wastes,Sand & Gravel,3362,50.777381,-2.053985
Mine and Quarry Wastes,Sand & Gravel,3362,54.035415,-6.056255
Mine and Quarry Wastes,Sand & Gravel,3362,54.049349,-6.020866
Mine and Quarry Wastes,Sand & Gravel,3362,54.059867,-5.988642
Mine and Quarry Wastes,Sand & Gravel,3362,54.070497,-5.979526
Mine and Quarry Wastes,Sand & Gravel,3362,54.978846,-3.322581
Mine and Quarry Wastes,Sand & Gravel,3362,54.83187,-4.943522
Mine and Quarry Wastes,Sand & Gravel,3362,55.124643,-3.590003
Mine and Quarry Wastes,Sand & Gravel,3362,54.971674,-4.514167
Mine and Quarry Wastes,Sand & Gravel,3362,51.856272,0.638051
Mine and Quarry Wastes,Sand & Gravel,3362,54.152305,-7.563405
Mine and Quarry Wastes,Sand & Gravel,3362,53.226183,-3.263824
Mine and Quarry Wastes,Sand & Gravel,3362,51.995275,-2.382274
Mine and Quarry Wastes,Sand & Gravel,3362,53.051983,-4.29352
Mine and Quarry Wastes,Sand & Gravel,3362,51.523071,0.233033
Mine and Quarry Wastes,Sand & Gravel,3362,56.823786,-2.643781
Mine and Quarry Wastes,Sand & Gravel,3362,57.169462,-3.07197
Mine and Quarry Wastes,Sand & Gravel,3362,57.638603,-2.127948
Mine and Quarry Wastes,Sand & Gravel,3362,57.664085,-2.025127
Mine and Quarry Wastes,Sand & Gravel,3362,57.018478,-2.502541
Mine and Quarry Wastes,Sand & Gravel,3362,57.60775,-2.269583
Mine and Quarry Wastes,Sand & Gravel,3362,57.64359,-2.12629
Mine and Quarry Wastes,Sand & Gravel,3362,57.496066,-1.885702
Mine and Quarry Wastes,Sand & Gravel,3362,56.499082,-2.766838
Mine and Quarry Wastes,Sand & Gravel,3362,54.666268,-6.279354
Mine and Quarry Wastes,Sand & Gravel,3362,54.510545,-6.338793
Mine and Quarry Wastes,Sand & Gravel,3362,54.577933,-6.271789
Mine and Quarry Wastes,Sand & Gravel,3362,54.581175,-6.269177
Mine and Quarry Wastes,Sand & Gravel,3362,55.759884,-5.037426
Mine and Quarry Wastes,Sand & Gravel,3362,56.472739,-5.398335
Mine and Quarry Wastes,Sand & Gravel,3362,51.955221,-0.63935
Mine and Quarry Wastes,Sand & Gravel,3362,51.596123,-0.653427
Mine and Quarry Wastes,Sand & Gravel,3362,51.594212,-0.60909
Mine and Quarry Wastes,Sand & Gravel,3362,52.336205,0.000086
Mine and Quarry Wastes,Sand & Gravel,3362,51.982345,-3.815705
Mine and Quarry Wastes,Sand & Gravel,3362,52.103799,-4.627722
Mine and Quarry Wastes,Sand & Gravel,3362,53.09173,-2.337424
Mine and Quarry Wastes,Sand & Gravel,3362,53.156097,-2.335536
Mine and Quarry Wastes,Sand & Gravel,3362,54.820233,-3.333189
Mine and Quarry Wastes,Sand & Gravel,3362,54.885904,-2.763556
Mine and Quarry Wastes,Sand & Gravel,3362,54.931197,-2.688179
Mine and Quarry Wastes,Sand & Gravel,3362,54.920795,-2.745416
Mine and Quarry Wastes,Sand & Gravel,3362,54.769402,-2.78996
Mine and Quarry Wastes,Sand & Gravel,3362,54.716797,-3.508869
Mine and Quarry Wastes,Sand & Gravel,3362,54.809928,-3.362881
Mine and Quarry Wastes,Sand & Gravel,3362,54.396587,-3.436708
Mine and Quarry Wastes,Sand & Gravel,3362,53.067038,-1.152892
Mine and Quarry Wastes,Sand & Gravel,3362,53.04046,-1.12597
Mine and Quarry Wastes,Sand & Gravel,3362,51.637965,-1.258671
Mine and Quarry Wastes,Sand & Gravel,3362,51.648024,-1.285969
Mine and Quarry Wastes,Sand & Gravel,3362,56.575301,-3.381705
Mine and Quarry Wastes,Sand & Gravel,3362,60.272371,-1.393078
Mine and Quarry Wastes,Sand & Gravel,3362,52.634387,-2.524502
Mine and Quarry Wastes,Sand & Gravel,3362,52.665661,-2.744755
Mine and Quarry Wastes,Sand & Gravel,3362,55.609019,-3.58764
Mine and Quarry Wastes,Sand & Gravel,3362,55.690034,-3.541686
Mine and Quarry Wastes,Sand & Gravel,3362,55.627786,-4.149033
Mine and Quarry Wastes,Sand & Gravel,3362,52.709152,-1.736423
Mine and Quarry Wastes,Sand & Gravel,3362,52.758673,-1.694042
Mine and Quarry Wastes,Sand & Gravel,3362,52.655552,-1.897215
Mine and Quarry Wastes,Sand & Gravel,3362,52.971745,-1.94933
Mine and Quarry Wastes,Sand & Gravel,3362,52.971078,-1.971667
Mine and Quarry Wastes,Sand & Gravel,3362,52.764101,-1.989584
Mine and Quarry Wastes,Sand & Gravel,3362,52.669276,-2.083359
Mine and Quarry Wastes,Sand & Gravel,3362,52.553837,-2.227826
Mine and Quarry Wastes,Sand & Gravel,3362,56.221549,-4.183371
Mine and Quarry Wastes,Sand & Gravel,3362,53.39926,-2.110351
Mine and Quarry Wastes,Sand & Gravel,3362,52.14221,1.094528
Mine and Quarry Wastes,Sand & Gravel,3362,51.412559,-0.45708
Mine and Quarry Wastes,Sand & Gravel,3362,55.927338,-2.367895
Mine and Quarry Wastes,Sand & Gravel,3362,54.589571,-7.007043
Mine and Quarry Wastes,Sand & Gravel,3362,54.740024,-6.814872
Mine and Quarry Wastes,Sand & Gravel,3362,54.884882,-7.40227
Mine and Quarry Wastes,Sand & Gravel,3362,54.521426,-7.006613
Mine and Quarry Wastes,Sand & Gravel,3362,54.891534,-7.367808
Mine and Quarry Wastes,Sand & Gravel,3362,54.585906,-6.99847
Mine and Quarry Wastes,Sand & Gravel,3362,54.447309,-7.420148
Mine and Quarry Wastes,Sand & Gravel,3362,54.890666,-7.29972
Mine and Quarry Wastes,Sand & Gravel,3362,54.668407,-6.859815
Mine and Quarry Wastes,Sand & Gravel,3362,54.480904,-7.20623
Mine and Quarry Wastes,Sand & Gravel,3362,54.640405,-6.973278
Mine and Quarry Wastes,Sand & Gravel,3362,54.641036,-6.968228
Mine and Quarry Wastes,Sand & Gravel,3362,54.513826,-7.078055
Mine and Quarry Wastes,Sand & Gravel,3362,54.682167,-7.101917
Mine and Quarry Wastes,Sand & Gravel,3362,54.640202,-6.864941
Mine and Quarry Wastes,Sand & Gravel,3362,54.632258,-6.865704
Mine and Quarry Wastes,Sand & Gravel,3362,54.89413,-7.357512
Mine and Quarry Wastes,Sand & Gravel,3362,54.888355,-7.36965
Mine and Quarry Wastes,Sand & Gravel,3362,54.653428,-6.921279
Mine and Quarry Wastes,Sand & Gravel,3362,54.718956,-7.409292
