Source,Material,Total_waste,Latitude,Longitude
Construction and Demolition,Mixed Hardcore,128185,51.440501,-2.6705814
Construction and Demolition,Soils,128140,51.055757,1.0388639
Construction and Demolition,Soils,127325,50.971906,-0.73586408
Construction and Demolition,Soils,127078,51.350904,-0.84957754
Construction and Demolition,Soils,126963,51.638378,-0.26989992
Construction and Demolition,Soils,126575,49.757201,-7.5699385
Construction and Demolition,Mixed Hardcore,126433,51.567013,-0.024849359
Construction and Demolition,Mixed Hardcore,126031,51.561462,-0.21492464
Construction and Demolition,Soils,125348,50.899691,-0.27725513
Construction and Demolition,Mixed Hardcore,124909,52.025199,-0.39622214
Construction and Demolition,Mixed Hardcore,124263,52.070463,1.2505823
Construction and Demolition,Soils,123916,53.987547,-2.7564785
Construction and Demolition,Soils,123718,53.882824,-0.29751784
Construction and Demolition,Soils,123605,55.745051,-4.0352495
Construction and Demolition,Soils,123563,53.781457,-1.608502
Construction and Demolition,Mixed Hardcore,122997,52.642757,-1.1127532
Construction and Demolition,Mixed Hardcore,122438,51.440979,-0.53816678
Construction and Demolition,Mixed Hardcore,122285,51.876587,0.31933152
Construction and Demolition,Soils,122268,51.428801,-0.78260502
Construction and Demolition,Soils,121747,50.710548,-3.4098858
Construction and Demolition,Soils,120898,50.866206,-0.69833791
Construction and Demolition,Mixed Hardcore,119953,50.814324,-0.58248719
Construction and Demolition,Mixed Hardcore,119802,51.519778,-3.3557394
Construction and Demolition,Mixed Hardcore,119575,54.810197,-1.4242875
Construction and Demolition,Soils,119111,52.025199,-0.39622214
Construction and Demolition,Mixed Hardcore,118752,51.493656,0.032224451
Construction and Demolition,Mixed Hardcore,118612,53.086722,-1.3597435
Construction and Demolition,Mixed Hardcore,118453,51.639678,-1.258051
Construction and Demolition,Mixed Hardcore,118427,51.355018,-0.47300213
Construction and Demolition,Mixed Hardcore,118223,54.809333,-3.3629857
Construction and Demolition,Mixed Hardcore,118140,51.460335,0.24764691
Construction and Demolition,Soils,118042,53.605585,-2.3770244
Construction and Demolition,Mixed Hardcore,117118,51.534393,-0.27732024
Construction and Demolition,Soils,116906,51.96902,-2.2487314
Construction and Demolition,Mixed Hardcore,116857,51.195132,-0.8305192
Construction and Demolition,Mixed Hardcore,116854,51.403284,0.29307276
Construction and Demolition,Mixed Hardcore,116668,51.701666,-0.32333279
Construction and Demolition,Mixed Hardcore,116351,53.033742,-1.1877985
Municipal Waste,Container Glass,116257,53.591367,-1.3071217
Construction and Demolition,Soils,116102,54.910232,-1.8525891
Construction and Demolition,Soils,115654,54.276652,-2.9090312
Construction and Demolition,Mixed Hardcore,115446,51.648176,-0.027828191
Construction and Demolition,Soils,115290,53.211094,-2.1159598
Construction and Demolition,Mixed Hardcore,115102,53.717115,-0.53389693
Construction and Demolition,Mixed Hardcore,115038,51.49524,0.22821411
Construction and Demolition,Mixed Hardcore,114860,53.386319,-2.1757493
Construction and Demolition,Soils,114613,51.402103,0.50826921
Construction and Demolition,Mixed Hardcore,113064,51.348724,0.74146315
Construction and Demolition,Soils,112520,51.446333,-0.6882295
Construction and Demolition,Soils,111941,52.595344,-0.53217425
Construction and Demolition,Mixed Hardcore,111875,51.261963,-0.56532266
Construction and Demolition,Soils,111075,51.570804,-0.22790656
Construction and Demolition,Mixed Hardcore,110313,51.518638,0.13644101
Construction and Demolition,Mixed Hardcore,110191,54.99068,-1.5014933
Construction and Demolition,Soils,109488,51.512271,0.21738552
Construction and Demolition,Soils,109268,51.622561,-3.9088148
Construction and Demolition,Soils,109042,51.932956,-1.2154238
Construction and Demolition,Mixed Hardcore,109022,51.553766,-0.2502779
Construction and Demolition,Soils,108927,54.922201,-1.5586171
Other,Other Soils,108248,51.503749,0.42914454
Construction and Demolition,Mixed Hardcore,108197,51.68099,-0.38667171
Construction and Demolition,Soils,108130,53.14441,-0.51992195
Construction and Demolition,Soils,107938,52.685172,-2.0138627
Construction and Demolition,Mixed Hardcore,107815,51.306442,1.3465879
Construction and Demolition,Mixed Hardcore,107261,53.284106,-1.3453087
Construction and Demolition,Soils,107064,50.890331,-1.8111715
Construction and Demolition,Soils,106094,51.504648,-0.01357019
Construction and Demolition,Soils,105886,58.220444,-6.4166312
Construction and Demolition,Soils,105876,57.46266,-1.8678379
Construction and Demolition,Mixed Hardcore,105759,50.853405,-1.0254039
Construction and Demolition,Mixed Hardcore,105690,51.478397,-0.01721682
Construction and Demolition,Mixed Hardcore,105291,51.575337,-0.47161951
Construction and Demolition,Soils,104898,51.448128,0.25955417
Construction and Demolition,Soils,104659,51.944569,-0.65131158
Construction and Demolition,Soils,104473,52.684459,1.3020054
Construction and Demolition,Mixed Hardcore,104305,51.020597,-1.4963735
Construction and Demolition,Soils,103591,54.722412,-1.4876335
Construction and Demolition,Mixed Hardcore,103297,55.870599,-4.3376854
Construction and Demolition,Soils,102712,53.780473,-1.8822924
Construction and Demolition,Soils,102638,51.608632,-2.4169081
Construction and Demolition,Soils,102282,50.24098,-5.1246003
Construction and Demolition,Soils,102250,51.569873,-0.22636993
Construction and Demolition,Mixed Hardcore,102110,51.431947,-0.18990995
Construction and Demolition,Mixed Hardcore,102060,53.497192,-2.2093411
Construction and Demolition,Soils,101634,51.517952,-0.56363608
Municipal Waste,Container Glass,101368,51.466595,0.34270916
Construction and Demolition,Soils,100984,51.650231,-1.8485204
Construction and Demolition,Mixed Hardcore,100800,52.535,-2.0775167
Construction and Demolition,Mixed Hardcore,100617,54.922201,-1.5586171
Construction and Demolition,Mixed Hardcore,100479,51.487881,-2.4635637
Construction and Demolition,Soils,100330,53.722906,-1.5968612
Construction and Demolition,Soils,99951,51.534476,-0.016208193
Construction and Demolition,Glass,99878,53.591367,-1.3071217
Construction and Demolition,Soils,99475,50.696787,-2.3124019
Construction and Demolition,Soils,99276,52.140486,0.042893
Construction and Demolition,Mixed Hardcore,98965,51.482969,-0.044786862
Combustion,Bottom ash - wood (virgin),98956,53.730585,-0.99467267
Construction and Demolition,Soils,98383,51.137427,-0.88379187
Municipal Waste,Municipal Waste Incinerator Bottom Ash,98376,51.183254,-1.3664244
Construction and Demolition,Mixed Hardcore,98285,50.897957,-1.2553492
Construction and Demolition,Mixed Hardcore,98057,51.438543,-2.6685385
Construction and Demolition,Soils,97937,53.44512,-1.1790118
Construction and Demolition,Mixed Hardcore,97566,51.464901,-0.10375165
Construction and Demolition,Mixed Hardcore,97551,51.477853,-0.50863426
Construction and Demolition,Soils,97483,51.220026,-0.071772909
Construction and Demolition,Soils,97342,53.904011,-3.021255
Municipal Waste,Municipal Waste Incinerator Bottom Ash,97278,52.853295,-1.1379011
Construction and Demolition,Mixed Hardcore,96892,51.642199,-1.5262849
Construction and Demolition,Mixed Hardcore,96615,51.355574,-0.11978828
Construction and Demolition,Soils,96494,51.271999,-0.020237147
Construction and Demolition,Mixed Hardcore,96436,51.515787,0.1011534
Construction and Demolition,Soils,96010,52.465246,-1.6937969
Construction and Demolition,Mixed Hardcore,96003,51.255475,-2.5443337
Construction and Demolition,Mixed Hardcore,95693,51.147951,0.8592727
Construction and Demolition,Mixed Hardcore,95019,51.514572,0.18678288
Construction and Demolition,Soils,94988,52.812753,-1.6333527
Construction and Demolition,Mixed Hardcore,94970,53.785039,-2.3948721
Construction and Demolition,Mixed Hardcore,94826,52.482339,-1.8564033
Construction and Demolition,Mixed Hardcore,94650,51.460624,-0.39753446
Other,Other Soils,94591,52.308491,-0.22662795
Construction and Demolition,Mixed Hardcore,94240,51.014272,-1.4894141
Construction and Demolition,Mixed Hardcore,94209,52.53535,-1.7233849
Construction and Demolition,Mixed Hardcore,94100,53.613549,-2.6188258
Construction and Demolition,Mixed Hardcore,93827,51.529774,-0.25142857
Construction and Demolition,Mixed Hardcore,93772,51.29979,1.3458167
Construction and Demolition,Mixed Hardcore,92902,53.675312,-1.4798311
Construction and Demolition,Soils,92770,52.288298,0.47715275
Construction and Demolition,Mixed Hardcore,92694,55.791637,-3.9832054
Construction and Demolition,Soils,92671,51.671235,-1.959304
Construction and Demolition,Soils,92039,53.677482,-1.6490533
Construction and Demolition,Soils,92006,51.153572,-2.1557983
Construction and Demolition,Soils,91876,50.528613,-1.8584407
Construction and Demolition,Mixed Hardcore,91728,54.888702,-1.5847989
Construction and Demolition,Mixed Hardcore,91577,54.582411,-1.2846001
Construction and Demolition,Mixed Hardcore,91044,52.8866,-2.8617841
Construction and Demolition,Mixed Hardcore,90357,57.22258,-2.1538091
Construction and Demolition,Soils,90240,53.808157,-1.2680184
Construction and Demolition,Soils,90111,51.210441,1.2720809
Municipal Waste,Municipal Waste Incinerator Bottom Ash,90099,51.490307,-0.3235212
Construction and Demolition,Soils,90023,51.64861,-3.8401928
Construction and Demolition,Mixed Hardcore,89722,52.305007,-0.23410106
Manufacturing,Calcium-based reaction wastes,89546,54.608527,-1.2010953
Construction and Demolition,Soils,89394,55.932791,-4.4922703
Construction and Demolition,Mixed Hardcore,89219,53.034081,-1.188672
Construction and Demolition,Mixed Hardcore,88696,51.391625,-0.1656866
Construction and Demolition,Soils,88660,51.399682,0.50457106
Combustion,Fly Ash - Coal,88654,53.075097,-2.6759756
Construction and Demolition,Mixed Hardcore,88248,51.575943,-0.47815099
Municipal Waste,Container Glass,87998,53.442346,-2.7502485
Construction and Demolition,Mixed Hardcore,87693,53.071189,-1.3530038
Construction and Demolition,Mixed Hardcore,87192,54.972983,-1.7156537
Construction and Demolition,Mixed Hardcore,87003,53.529325,-2.3891691
Construction and Demolition,Mixed Hardcore,86647,51.443844,-2.5708593
Construction and Demolition,Soils,86634,52.268768,-0.96038476
Construction and Demolition,Soils,86408,51.806732,-1.2279723
Construction and Demolition,Mixed Hardcore,85756,50.898871,-2.9458638
Construction and Demolition,Mixed Hardcore,85649,51.337405,-0.11227663
Municipal Waste,Municipal Waste Incinerator Bottom Ash,84854,51.491931,0.023850059
Construction and Demolition,Mixed Hardcore,84638,51.133701,-0.16161823
Construction and Demolition,Mixed Hardcore,84524,52.660231,-1.1306147
Construction and Demolition,Soils,84421,51.580828,0.80005028
Construction and Demolition,Soils,84415,51.214806,-0.76723804
Construction and Demolition,Soils,84090,51.348826,-0.84672898
Construction and Demolition,Mixed Hardcore,83819,50.823271,-0.33332643
Construction and Demolition,Mixed Hardcore,83656,50.712958,-3.4077343
Construction and Demolition,Mixed Hardcore,83160,52.632153,-1.9093707
Construction and Demolition,Mixed Hardcore,83030,53.43728,-1.18258
Construction and Demolition,Mixed Hardcore,83016,51.515732,0.18483499
Construction and Demolition,Mixed Hardcore,82958,51.526488,-0.23912785
Construction and Demolition,Mixed Hardcore Fines,82893,51.504648,-0.01357019
Construction and Demolition,Soils,82635,51.763062,0.40747735
Construction and Demolition,Soils,82397,52.514723,-2.1486397
Construction and Demolition,Mixed Hardcore Fines,82344,51.494453,0.002121683
Construction and Demolition,Soils,82340,53.506949,-2.2926328
Construction and Demolition,Mixed Hardcore,82198,51.485053,-0.045720358
Construction and Demolition,Soils,82080,51.43978,0.25639365
Construction and Demolition,Soils,81924,50.739377,-1.5592126
Construction and Demolition,Mixed Hardcore,81901,51.557731,-0.27325046
Construction and Demolition,Soils,81609,51.988513,-1.0895051
Construction and Demolition,Soils,81206,53.696013,-1.8576292
Construction and Demolition,Mixed Hardcore,81135,51.862627,-2.2240085
Construction and Demolition,Mixed Hardcore,80753,52.290753,0.46598327
Construction and Demolition,Soils,80640,53.905454,-0.2777214
Construction and Demolition,Mixed Hardcore,80579,51.620308,-0.14878002
Construction and Demolition,Mixed Hardcore,80384,52.232482,0.15312623
Construction and Demolition,Mixed Hardcore,80363,51.480999,0.21039517
Construction and Demolition,Mixed Hardcore,79878,52.096354,-0.71359982
Construction and Demolition,Mixed Hardcore,79857,51.33106,0.88551453
Construction and Demolition,Mixed Hardcore,79853,53.282834,-3.5412376
Construction and Demolition,Mixed Hardcore,79817,53.649888,-2.6609017
Construction and Demolition,Mixed Hardcore,79757,51.424204,-1.0544485
Construction and Demolition,Mixed Hardcore,79269,53.55134,-2.5958204
Construction and Demolition,Mixed Hardcore,78640,51.638938,-2.2191608
Construction and Demolition,Soils,78090,51.00264,-1.5265676
Construction and Demolition,Soils,77808,55.866861,-3.0516727
Construction and Demolition,Mixed Hardcore,77776,53.538576,-2.6309043
Other,Other Soils,77638,53.767788,-1.4507745
Construction and Demolition,Mixed Hardcore,77571,50.893513,0.31491027
Construction and Demolition,Mixed Hardcore,77568,51.096168,-0.32841811
Construction and Demolition,Soils,77492,55.822375,-3.1661762
Construction and Demolition,Soils,77396,51.741563,-1.4041258
Construction and Demolition,Mixed Hardcore,77371,51.385577,-0.22785641
Construction and Demolition,Soils,77319,51.487881,-2.4635637
Construction and Demolition,Soils,76996,51.787417,-0.15949025
Construction and Demolition,Mixed Hardcore,76992,51.844851,-0.96219307
